McConnell slams Biden speech: 'I did not recognize the man at the podium yesterday', 4 hours ago, Senate Minority Leader Mitch McConnell blasted President Joe Biden's Tuesday speech in Atlanta endorsing Democrats' election reforms expressing displeasure..., https://local12.com/news/nation-world/mcconnell-blasts-biden-speech-says-it-shows-why-senate-rules-should-be-preserved-mitch-joe-atlanta-president-filibuster-congress-voting-rights-bill-law 
Kudlow: This is another major defeat for Biden, 4 hours ago, 'Kudlow' breaks down the Democratic policies that 'continue to unravel.' #FOXBusiness #KudlowSubscribe to Fox Business! https://bit.ly/2D9CdseWatch more Fox..., https://www.youtube.com/watch%3Fv%3DIo1AAmHwdqk 
Senate Democrats on brink of defeat on voting legislation despite frantic push, 4 hours ago, Senate Democrats are desperately searching for a way to pass voting legislation amid pressure from President Joe Biden but the path ahead looks..., https://www.cnn.com/2022/01/12/politics/senate-democrats-voting-rights-push/index.html 
President Biden called Philadelphia’s fire union head Monday to discuss last week’s Fairmount blaze, 4 hours ago, President Joe Biden on Monday called the head of Philadelphia's fire union to discuss last week's fatal blaze in Fairmount where nine children and three..., https://www.inquirer.com/news/philadelphia-fire-fairmount-biden-call-union-firefighters-20220112.html 
President Biden's Speech in Atlanta Was Designed to Appeal to Black Voters—But Not Everything About It Succeeded, 4 hours ago, Biden and Harris had a message for Black voters—that they're serious about voting rights—but it didn't always get through., https://time.com/6138657/voting-rights-biden-harris-race/ 
Voting advocates focus on next steps after Biden speech | TheHill, 4 hours ago, Advocacy groups and civil rights leaders are proceeding with cautious optimism after President Biden delivered an impassioned speech this week calling for..., https://thehill.com/homenews/administration/589474-voting-advocates-focus-on-next-steps-after-biden-speech 
Biden's approval rating drops to new low of 33% on concerns about his handling of COVID economy: poll, 4 hours ago, More than half of Americans disapprove of Biden's handling of the economy COVID-19 and foreign policy in a new Quinnipiac University poll., https://www.usatoday.com/story/news/politics/2022/01/12/bidens-approval-rating-new-low-covid-economy/9189510002/ 
4 of McConnell's spiciest retorts to Biden's 'unpresidential' voting rights speech, 4 hours ago, Senate Minority Leader Mitch McConnell (R-Ky.) tore into President Biden's voting rights speech Wednesday calling it a "rant" that was "incoherent..., https://theweek.com/politics/1008924/4-of-mcconnells-spiciest-retorts-to-bidens-unpresidential-voting-rights-speech 
Biden Democrats call for sanctions on Putin other top Russian officials if Kremlin invades Ukraine, 4 hours ago, WASHINGTON – The Biden administration and Senate Democrats have teamed up on a proposal to personally sanction Russian President Vladimir Putin and members..., https://www.usatoday.com/story/news/politics/2022/01/12/russia-ukraine-invasion-democrats-threaten-sanctions/9185733002/ 
Only a third of Americans give Biden a thumbs-up in new national poll, 4 hours ago, President Biden's standing with Americans remains firmly in negative territory as the new year gets underway according to a new national poll., https://www.foxnews.com/politics/only-third-americans-give-biden-thumbs-up-new-national-poll 
